avg_reliability,min_reliability,on_time_rate,farm_count,quantity_buffer,avg_distance_km,max_distance_km,harvest_buffer_days,price_headroom,prior_buyer_share,fulfilled
0.8893,0.8349,0.8119,5,0.0388,66.4,152.0,2.39,0.1284,0.0566,1
0.6619,0.6619,0.5515,1,0.5293,118.2,118.2,1.06,0.07,0.5986,0
0.8903,0.8701,0.8521,2,0.6737,116.8,244.9,3.09,-0.0121,0.0747,1
0.8232,0.6598,0.8313,5,0.0016,41.5,79.0,2.11,0.0329,0.2542,0
0.8096,0.7521,0.8899,3,0.0336,238.5,331.4,6.73,0.0095,0.2895,1
0.8011,0.6805,0.838,5,0.0885,301.9,339.4,3.67,-0.0855,0.2252,0
0.7632,0.6594,0.738,4,0.1371,169.9,238.4,0.87,0.1867,0.1713,0
0.8453,0.7279,0.7393,3,0.1184,74.3,165.0,2.11,0.0672,0.083,0
0.8759,0.7561,0.7191,5,0.1821,193.2,321.1,2.47,0.0198,0.4901,0
0.8371,0.6403,0.8225,5,0.096,299.1,316.4,1.67,0.1456,0.0494,0
0.8384,0.7604,0.7849,2,0.0339,204.5,307.6,5.87,0.0706,0.2211,0
0.8422,0.7659,0.8553,2,0.4607,31.0,87.4,2.58,0.2342,0.8113,0
0.7813,0.62,0.8405,3,0.0497,190.5,317.5,7.59,0.1141,0.7101,0
0.8655,0.7687,0.7972,5,0.034,276.1,287.7,4.19,0.0557,0.2859,0
0.8081,0.7125,0.8973,4,0.1638,296.2,434.5,4.08,0.1825,0.3399,0
0.818,0.6822,0.6775,5,0.0275,42.9,171.0,2.03,0.0735,0.22,1
0.8826,0.8826,0.8532,1,0.5893,293.8,293.8,1.13,0.0404,0.0111,1
0.8896,0.8426,0.9459,3,0.0448,145.2,200.5,5.71,0.2364,0.1806,0
0.8545,0.8133,0.7548,2,0.0572,32.3,94.4,0.68,0.0796,0.0226,0
0.5563,0.5563,0.5278,1,0.224,163.5,163.5,1.47,0.2523,0.0193,0
0.8307,0.7493,0.7651,5,0.3628,319.7,341.8,4.91,0.0293,0.0889,0
0.8581,0.8581,0.9112,1,0.1297,227.6,227.6,0.6,-0.0504,0.7074,1
0.851,0.8051,0.7389,2,0.0028,34.5,139.4,0.89,0.0985,0.4406,1
0.839,0.7889,0.7873,2,0.0116,92.3,187.6,0.9,0.2573,0.494,0
0.9142,0.868,0.9088,5,0.0393,239.8,334.3,3.62,0.336,0.1883,0
0.8847,0.7868,0.8719,5,0.2992,237.0,416.9,2.78,0.1446,0.1575,0
0.8513,0.8173,0.7393,3,0.5701,147.9,291.2,3.1,0.0738,0.5532,0
0.8836,0.8836,0.9229,1,0.003,154.3,154.3,3.49,0.2954,0.1234,1
0.8873,0.7253,0.8753,4,0.1717,308.7,343.4,5.3,0.0853,0.7858,1
0.7845,0.5132,0.8426,4,0.1596,125.2,233.3,3.09,0.0682,0.3139,0
0.8641,0.6718,0.8591,5,0.0463,146.5,173.9,9.19,0.2503,0.2512,1
0.8269,0.7659,0.7692,5,0.1747,106.3,265.1,4.68,0.048,0.0633,1
0.6532,0.6532,0.6579,1,0.3834,186.8,186.8,5.3,-0.037,0.0999,1
0.9122,0.8221,1.0,5,0.0006,144.5,210.0,3.54,0.1862,0.4397,1
0.8393,0.7273,0.857,2,0.0202,41.1,88.9,2.09,0.2147,0.3172,0
0.9265,0.9168,0.8642,3,0.145,271.2,304.4,2.51,0.1519,0.4091,0
0.794,0.6704,0.7152,4,0.0842,24.6,160.0,2.95,0.2015,0.0821,0
0.8734,0.807,0.8523,2,0.1724,72.6,106.3,1.85,0.3568,0.0855,0
0.7099,0.7099,0.7801,1,0.267,32.0,32.0,3.64,0.22,0.0925,0
0.8241,0.7489,0.8173,3,0.2027,26.0,127.8,10.48,0.1718,0.612,1
0.8658,0.8153,0.7996,2,0.1093,225.6,392.7,5.75,0.0845,0.3811,1
0.8302,0.5618,0.8443,5,0.0936,181.6,207.9,8.85,0.2097,0.3247,1
0.7047,0.7047,0.6916,1,0.1246,135.8,135.8,4.48,0.1871,0.4192,0
0.9053,0.9053,0.8648,1,0.0236,123.3,123.3,6.36,0.1832,0.6634,0
0.7721,0.6875,0.8098,4,0.0118,97.8,191.1,3.61,0.1302,0.2406,1
0.8086,0.8086,0.7995,1,0.2323,283.1,283.1,0.76,-0.053,0.2293,1
0.8703,0.8703,0.8338,1,0.1467,238.9,238.9,0.79,0.0491,0.1106,0
0.8708,0.7949,0.8992,3,0.0606,235.4,339.3,2.16,0.0574,0.1821,0
0.9031,0.8301,0.9378,4,0.0264,187.1,250.7,5.5,0.1729,0.1899,1
0.9145,0.8528,0.8412,4,0.2447,52.5,166.0,4.71,0.115,0.0407,1
0.7359,0.45,0.7986,4,0.1196,235.6,340.0,2.72,0.0925,0.1569,0
0.9008,0.8605,0.9157,2,0.1428,106.8,279.9,4.39,-0.113,0.7859,1
0.9088,0.8876,0.8962,2,0.3922,119.8,241.8,5.42,0.2625,0.2394,1
0.8418,0.7661,0.8041,5,0.5795,105.1,128.5,7.16,0.0199,0.589,1
0.8566,0.8484,0.9565,2,0.1649,205.3,296.6,2.9,0.1013,0.4452,1
0.791,0.7231,0.8416,4,0.1227,202.1,217.5,6.55,0.1206,0.4822,0
0.7539,0.6822,0.7535,5,0.1098,145.3,203.5,5.08,0.1281,0.2505,1
0.8022,0.5989,0.796,4,0.1643,21.2,21.9,2.28,0.2268,0.0664,0
0.8596,0.7583,0.7942,4,0.1179,112.0,157.7,2.06,0.2082,0.3406,0
0.7684,0.6644,0.6946,5,1.0,135.6,194.9,1.09,0.2558,0.5681,1
0.9419,0.9221,0.9103,3,0.1286,219.9,392.8,3.41,-0.0396,0.6204,1
0.6888,0.4877,0.7095,4,0.0507,209.9,378.4,2.41,0.3099,0.2813,0
0.8821,0.7559,0.9203,5,0.0018,282.7,421.0,2.92,-0.0618,0.2197,0
0.8799,0.8799,0.7624,1,0.1277,37.0,37.0,4.01,0.0987,0.3717,1
0.7986,0.6256,0.9086,3,0.3888,303.7,406.6,6.11,0.2801,0.3345,1
0.8743,0.8567,0.7861,2,0.1049,77.4,237.4,0.36,0.1812,0.0537,0
0.9096,0.8667,0.9369,2,0.0361,36.8,134.8,1.0,0.0884,0.4953,1
0.8517,0.8517,0.8323,1,0.3929,235.0,235.0,3.86,0.3976,0.4343,1
0.8585,0.6944,0.7345,4,0.0917,251.3,424.0,0.7,0.0341,0.1616,0
0.9033,0.8221,0.7969,2,0.0072,289.9,324.8,5.6,-0.0177,0.3725,1
0.9032,0.8583,0.8026,3,0.4068,34.4,162.0,4.31,0.1148,0.5629,1
0.8986,0.8419,0.8124,4,0.0781,138.8,176.7,5.78,0.1485,0.5,1
0.8022,0.5291,0.757,4,0.187,229.6,387.1,3.95,0.0926,0.2789,0
0.8726,0.8726,0.8259,1,0.0643,68.0,68.0,1.82,0.005,0.7865,1
0.795,0.7199,0.8941,3,0.4685,130.0,203.8,4.92,0.2708,0.0386,1
0.8732,0.6487,0.8908,4,0.1818,265.9,444.4,4.65,0.1319,0.7874,1
0.7614,0.7614,0.7908,1,0.031,132.2,132.2,3.91,0.2297,0.2854,0
0.7719,0.7719,0.8404,1,0.174,286.8,286.8,9.25,0.3145,0.1577,1
0.9003,0.7914,0.9281,4,0.283,107.3,150.5,1.27,0.2504,0.2854,1
0.9,0.9,0.8862,1,0.0719,183.9,183.9,4.89,0.0011,0.0632,1
0.6732,0.4845,0.5745,3,0.4014,219.5,335.1,2.41,0.0941,0.5282,0
0.8301,0.793,0.8879,2,0.0017,311.1,341.9,3.41,0.1998,0.8807,1
0.8988,0.8597,0.8814,2,0.0086,110.5,249.3,1.83,0.0201,0.2369,0
0.9253,0.8811,0.8588,5,0.0209,121.6,230.1,5.61,0.1452,0.0549,0
0.8913,0.8332,0.8784,2,0.0421,269.0,336.3,3.22,0.1749,0.2263,1
0.6868,0.45,0.7477,4,0.5192,138.1,214.0,2.8,0.1043,0.3836,0
0.8855,0.8853,0.8471,2,0.078,163.9,330.0,6.0,0.0894,0.0293,0
0.8063,0.6787,0.8416,5,0.2496,203.5,297.9,1.33,0.0015,0.4297,0
0.8611,0.6932,0.8708,5,0.6093,211.9,288.7,4.02,0.0617,0.115,0
0.8435,0.7973,0.8945,2,0.0901,23.4,87.1,4.57,-0.0265,0.2068,1
0.8797,0.7982,0.8277,4,0.1619,74.9,243.4,2.73,0.2154,0.2926,1
0.8772,0.7717,0.9262,4,0.1069,38.6,189.4,3.88,0.1376,0.3395,0
0.7955,0.7955,0.7743,1,0.07,319.4,319.4,4.72,0.1296,0.4477,0
0.7645,0.5884,0.7569,3,0.015,237.0,376.3,3.96,-0.0108,0.4468,0
0.8779,0.7885,0.8307,3,0.032,58.2,186.3,6.51,0.272,0.1281,0
0.8873,0.8431,0.9132,2,0.0937,151.0,165.6,7.69,0.2944,0.1606,1
0.5671,0.5155,0.462,2,0.2553,153.5,318.4,3.2,0.2309,0.4412,0
0.8519,0.7133,0.8021,5,0.0431,213.1,378.2,7.72,-0.0673,0.0527,0
0.7978,0.4644,0.8142,5,0.0024,20.9,195.8,5.59,0.3062,0.3708,0
0.9728,0.9728,0.9934,1,0.0477,307.4,307.4,4.9,0.1587,0.2479,1
0.9327,0.901,0.8938,3,0.0713,58.9,222.3,1.67,0.1189,0.2673,1
0.8722,0.7786,0.8045,3,0.4697,45.9,69.0,8.39,0.1372,0.1261,1
0.7653,0.5523,0.7279,3,0.1859,108.1,122.9,3.88,0.1531,0.435,0
0.9134,0.8884,0.9545,3,0.1001,268.4,381.8,2.01,0.0448,0.1758,0
0.9243,0.8858,0.8957,4,0.1309,166.9,295.5,1.29,0.303,0.3105,0
0.9676,0.9585,0.9883,2,0.3238,138.7,221.4,1.74,-0.0131,0.5098,1
0.9601,0.9601,0.9389,1,0.6747,28.3,28.3,2.88,0.2085,0.6554,1
0.8086,0.6935,0.7964,5,0.1308,46.3,149.9,6.26,0.1429,0.5966,1
0.9186,0.893,0.8315,2,0.204,246.6,412.4,3.05,0.2145,0.3221,1
0.8359,0.701,0.8148,5,0.1233,247.6,269.1,5.92,-0.0203,0.2702,1
0.7882,0.6003,0.8399,4,0.0083,55.3,223.0,2.76,0.0239,0.9093,0
0.7477,0.6507,0.9148,4,0.2016,48.1,120.9,2.23,0.0713,0.2276,0
0.487,0.487,0.5485,1,0.0335,160.8,160.8,5.36,-0.0078,0.1381,0
0.922,0.9139,0.9641,2,0.0425,39.7,65.2,4.18,0.2089,0.6856,1
0.9106,0.9106,0.7207,1,0.0598,237.8,237.8,4.64,-0.0316,0.4274,1
0.8694,0.8024,0.8564,5,0.0438,65.5,112.9,1.19,-0.0719,0.0923,0
0.811,0.6617,0.6169,3,0.0065,216.3,352.9,11.15,0.1226,0.4064,1
0.848,0.6787,0.8291,4,0.3775,258.4,307.0,0.4,0.2766,0.2442,1
0.8953,0.8953,0.8596,1,0.1179,197.2,197.2,1.61,0.1332,0.7045,1
0.8376,0.4976,0.7859,5,0.0939,145.1,232.5,1.55,0.1862,0.1215,0
0.9177,0.8717,0.9209,2,0.0065,89.4,92.5,1.86,0.2595,0.024,1
0.7922,0.7055,0.8216,4,0.1236,107.6,138.2,2.46,0.1417,0.146,0
0.8566,0.8566,0.9001,1,0.0407,145.2,145.2,8.25,0.209,0.2067,1
0.8997,0.8714,1.0,5,0.2559,115.9,245.1,3.82,0.2126,0.5008,1
0.8157,0.7868,0.8356,2,0.0073,28.1,77.4,8.16,0.1413,0.6928,1
0.8877,0.8877,0.8602,1,0.3289,26.9,26.9,8.38,0.257,0.1635,1
0.8879,0.7499,0.9054,4,0.0271,230.2,307.4,3.12,-0.0489,0.3098,0
0.9093,0.7657,0.9531,4,0.7891,282.9,447.4,6.54,0.0758,0.6156,1
0.6471,0.6471,0.6202,1,0.4574,214.4,214.4,1.92,0.0178,0.2813,0
0.76,0.6682,0.7287,2,0.0468,270.4,440.6,4.6,0.0583,0.376,1
0.608,0.608,0.6697,1,0.2517,104.4,104.4,1.98,-0.0636,0.1966,0
0.8164,0.6781,0.8806,2,0.1382,160.8,239.3,2.08,0.0108,0.1543,0
0.7955,0.7501,0.6972,3,0.1481,43.4,152.9,1.64,0.1255,0.6689,0
0.9156,0.838,0.9119,5,0.0469,271.8,301.8,1.31,0.2881,0.2301,0
0.7808,0.56,0.7677,5,0.0737,70.1,169.2,5.49,-0.024,0.6699,0
0.7368,0.7339,0.8375,2,0.2311,247.3,294.5,1.38,-0.1677,0.0863,0
0.7613,0.5951,0.6254,3,0.03,36.8,106.4,2.44,0.074,0.7395,0
0.6416,0.5248,0.7457,2,0.314,30.1,76.8,5.32,0.2085,0.2723,0
0.9332,0.8626,0.9706,5,0.5441,219.8,244.5,8.91,0.0235,0.4114,1
0.8605,0.7929,0.9087,4,0.2574,273.2,319.4,7.78,0.263,0.1841,0
0.8592,0.8339,0.9186,3,0.227,145.3,256.3,1.26,-0.0053,0.8338,0
0.9251,0.9251,0.9427,1,0.0418,64.6,64.6,7.39,0.0619,0.2675,1
0.9091,0.8648,0.8856,3,0.0827,299.3,393.3,8.83,0.1862,0.4698,1
0.7571,0.7083,0.8501,3,0.4913,281.5,353.7,6.51,0.1444,0.232,0
0.8383,0.8383,0.8789,1,0.1185,143.8,143.8,1.52,0.2099,0.3004,1
0.772,0.6254,0.7794,3,0.1064,262.9,391.5,0.5,0.1677,0.4828,0
0.5347,0.5347,0.5513,1,0.0012,88.3,88.3,8.13,0.1497,0.278,0
0.8211,0.8211,0.8353,1,0.2369,101.6,101.6,2.35,0.3183,0.1007,0
0.8413,0.6686,0.8642,4,0.0016,231.6,388.6,2.74,0.1588,0.7512,0
0.9703,0.9703,0.928,1,0.1128,148.9,148.9,0.88,0.1918,0.2201,1
0.7217,0.7217,0.6443,1,0.2411,100.3,100.3,3.17,0.2499,0.0847,0
0.7858,0.6926,0.7192,5,0.0112,120.7,154.7,2.74,-0.0801,0.0519,0
0.7095,0.7095,0.7808,1,0.1458,210.1,210.1,1.24,-0.0684,0.6809,1
0.9122,0.824,0.9353,3,0.4841,303.2,304.3,3.58,0.0785,0.5456,1
0.7389,0.6108,0.6829,2,0.0298,226.9,284.3,4.07,0.1729,0.2547,1
0.8082,0.6344,0.7616,3,0.6181,308.9,427.0,5.61,0.2125,0.361,0
0.8059,0.6618,0.7499,5,0.0044,150.7,199.5,2.08,0.0802,0.4608,0
0.9186,0.9186,0.9641,1,0.3821,244.0,244.0,3.31,0.1136,0.1679,1
0.8433,0.5893,0.8578,5,0.0791,216.0,286.4,2.63,0.0434,0.0702,0
0.7826,0.5593,0.781,4,0.0065,86.3,101.0,2.68,0.0781,0.5436,0
0.777,0.536,0.7765,3,0.491,163.4,176.4,2.46,-0.0805,0.3806,0
0.8596,0.7962,0.7934,3,0.0357,79.5,187.2,1.25,0.114,0.5253,0
0.8963,0.8344,0.9657,4,0.031,226.4,341.1,8.14,0.0952,0.4046,1
0.6206,0.6206,0.6915,1,0.032,177.4,177.4,0.11,0.2759,0.2605,1
0.7158,0.708,0.7828,2,0.3058,288.6,311.1,1.36,0.0717,0.5231,0
0.7654,0.5185,0.8076,5,0.0019,142.8,218.8,3.97,0.1574,0.0181,0
0.8392,0.7726,0.8941,5,0.1302,50.8,155.4,0.87,-0.0337,0.5562,0
0.7298,0.6114,0.6902,3,0.0033,142.3,216.9,4.96,0.0995,0.1524,0
0.7427,0.5935,0.7367,4,0.172,36.5,197.5,6.72,0.0996,0.5344,0
0.8121,0.6229,0.8027,5,0.048,257.4,288.0,4.84,0.107,0.4733,0
0.7849,0.4544,0.7995,4,0.1922,290.0,341.3,3.54,0.2113,0.3149,0
0.8,0.6074,0.7556,4,0.0331,81.6,100.0,6.85,0.017,0.2133,0
0.8098,0.7532,0.731,4,0.094,201.9,247.2,2.03,0.272,0.466,1
0.829,0.7787,0.8217,3,0.0032,220.1,345.5,2.37,0.0369,0.1249,1
0.9404,0.9404,0.9348,1,0.0386,36.8,36.8,0.96,0.2095,0.4881,1
0.9355,0.9355,1.0,1,0.1517,306.3,306.3,1.32,0.1213,0.8144,1
0.8566,0.8006,0.831,4,0.236,279.4,444.8,6.01,-0.012,0.7621,0
0.8308,0.7361,0.8089,2,0.0079,15.5,57.4,7.12,0.1034,0.0793,1
0.8667,0.8176,1.0,3,0.0157,157.5,239.1,0.24,0.1737,0.007,0
0.45,0.45,0.5345,1,0.0657,271.3,271.3,2.97,0.0514,0.3962,0
0.8656,0.8042,0.801,3,0.1951,246.6,263.2,1.17,-0.0452,0.5419,0
0.7844,0.6396,0.721,2,0.0626,58.9,190.0,0.57,0.185,0.5057,0
0.8247,0.7145,0.8198,5,0.0701,18.5,40.7,1.53,0.1743,0.5327,0
0.7763,0.5676,0.8309,3,0.4187,224.4,388.5,3.83,0.0484,0.109,0
0.8407,0.8375,0.8391,2,0.0414,164.9,217.4,2.01,0.0929,0.1434,1
0.9288,0.9288,0.9701,1,0.1261,81.6,81.6,3.72,0.0003,0.221,1
0.9006,0.8174,0.8429,3,0.0238,58.9,80.4,1.82,0.0227,0.2906,1
0.7707,0.7707,0.7538,1,0.2923,164.3,164.3,4.59,0.19,0.3607,1
0.9289,0.9032,0.9524,4,0.0361,188.5,189.9,4.05,0.2187,0.0155,1
0.8243,0.8243,0.848,1,0.003,242.6,242.6,3.36,0.2973,0.3876,0
0.8255,0.7374,0.7614,4,0.0419,131.9,213.6,3.51,0.0958,0.1042,0
0.8909,0.8909,0.9607,1,0.1829,298.6,298.6,3.43,0.1541,0.277,0
0.5139,0.5139,0.5586,1,0.2211,55.2,55.2,2.62,-0.0643,0.3382,0
0.8561,0.8561,0.8193,1,0.0081,41.9,41.9,14.0,0.1068,0.2958,1
0.7604,0.6693,0.7908,4,0.2813,104.5,252.0,0.93,-0.004,0.5476,0
0.862,0.6895,0.8363,5,0.7135,79.1,81.9,4.54,0.219,0.0078,1
0.8838,0.8144,0.9225,2,0.0855,308.3,461.9,2.8,0.1117,0.1299,0
0.8998,0.8022,0.8654,5,0.2307,199.5,216.5,1.29,0.2133,0.0422,0
0.874,0.8115,0.8953,5,0.0019,74.2,166.5,1.1,0.16,0.2399,0
0.8225,0.723,0.6981,5,0.1581,43.5,93.7,3.37,0.2135,0.2063,0
0.8227,0.684,0.7799,3,0.0352,30.6,57.5,5.05,0.1243,0.7209,1
0.8374,0.6991,0.9253,3,0.23,114.2,212.5,1.51,0.0736,0.0259,0
0.7443,0.7443,0.7314,1,0.2896,186.4,186.4,3.12,0.0981,0.0654,0
0.8964,0.8539,0.9231,4,0.4037,72.5,209.7,4.28,0.2359,0.0872,1
0.6419,0.6419,0.654,1,0.3646,129.8,129.8,3.71,0.3644,0.0538,0
0.678,0.5931,0.737,3,0.0165,265.9,306.2,6.33,0.1035,0.5182,0
0.7115,0.5913,0.697,2,0.5398,99.6,129.6,3.2,0.1276,0.1274,1
0.9791,0.9791,0.8916,1,0.0429,254.3,254.3,7.06,0.1074,0.172,1
0.9013,0.7924,0.8346,5,0.0352,164.9,176.4,2.89,0.0089,0.377,0
0.723,0.561,0.719,3,0.0464,293.6,447.8,1.11,-0.0515,0.0068,0
0.7659,0.5872,0.6358,2,0.0556,134.6,254.0,1.71,0.226,0.2034,0
0.7823,0.7823,0.8537,1,0.0362,133.4,133.4,2.97,0.1831,0.5738,1
0.8211,0.7087,0.8762,5,0.1246,48.1,72.5,1.17,0.0698,0.4373,0
0.9218,0.8632,1.0,3,0.1134,51.9,214.6,2.53,0.1023,0.7524,1
0.8708,0.8531,0.8194,3,0.1675,226.5,327.8,4.31,0.0108,0.2772,1
0.921,0.8746,0.876,3,0.0922,173.2,227.9,1.97,0.0411,0.225,1
0.8333,0.8333,0.855,1,0.0693,233.0,233.0,6.25,0.0649,0.5717,1
0.8802,0.8802,0.9063,1,0.0145,78.0,78.0,1.93,-0.0786,0.2102,0
0.7955,0.687,0.826,2,0.0184,307.7,333.2,2.57,0.0091,0.2738,0
0.8781,0.8479,0.943,3,0.0225,311.9,449.8,9.59,0.043,0.1528,0
0.8143,0.6818,0.7411,3,0.0722,72.9,137.5,4.79,0.0082,0.3563,0
0.8889,0.8889,0.8614,1,0.0258,136.2,136.2,0.78,0.0439,0.3852,1
0.9086,0.9086,0.8557,1,0.1958,77.5,77.5,3.3,0.3278,0.0898,0
0.9332,0.8869,0.9756,4,0.0984,273.0,355.5,1.63,0.0382,0.0439,0
0.7738,0.4888,0.6868,3,0.3441,156.3,201.9,6.16,0.143,0.0214,0
0.8542,0.5605,0.8332,5,0.7103,204.7,243.9,6.24,0.1465,0.0622,0
0.8128,0.6879,0.7545,3,0.1771,131.6,172.7,1.46,0.0426,0.1916,0
0.922,0.922,0.9353,1,0.2198,75.1,75.1,6.75,0.097,0.1587,1
0.8908,0.8388,0.9874,2,0.1498,312.5,347.1,4.95,0.0901,0.0376,1
0.832,0.7318,0.8851,2,0.1212,305.1,410.1,3.5,0.1659,0.3431,1
0.689,0.4581,0.6608,5,0.0042,142.0,298.4,2.95,-0.0244,0.006,0
0.7141,0.6,0.6965,2,0.2926,219.6,330.0,8.76,0.1469,0.4972,0
0.783,0.6269,0.8002,2,0.0917,214.4,394.2,9.03,0.2619,0.2059,0
0.7469,0.5546,0.6714,3,0.4539,76.2,132.3,4.46,0.0161,0.187,0
0.681,0.5394,0.7094,3,0.1153,110.8,164.0,0.85,0.2077,0.7763,0
0.8353,0.7555,0.78,2,0.1038,47.0,186.6,3.08,0.0685,0.684,1
0.7922,0.7922,0.8876,1,0.3095,71.7,71.7,8.23,0.223,0.0695,1
0.789,0.789,0.839,1,0.0044,184.7,184.7,6.05,-0.003,0.499,1
0.8959,0.8321,0.8856,2,0.2478,308.0,434.6,1.27,0.2224,0.3055,0
0.9686,0.9686,0.882,1,0.4552,44.0,44.0,8.88,0.0981,0.3108,1
0.8532,0.7039,0.8151,4,0.3272,121.3,248.9,3.24,0.116,0.2745,0
0.7286,0.6353,0.6593,5,0.1895,82.6,211.6,4.16,0.0009,0.3784,0
0.8618,0.7659,0.9498,5,0.268,188.6,214.8,4.0,0.1582,0.5578,1
0.8742,0.8309,0.8281,3,0.6184,168.9,275.7,2.18,0.0546,0.2255,0
0.7977,0.6448,0.9274,3,0.0866,80.1,254.0,1.24,0.0402,0.1213,0
0.8851,0.7335,0.7402,4,0.3648,64.7,71.9,2.34,0.0403,0.3924,0
0.9505,0.936,1.0,2,0.1152,226.3,279.3,6.14,0.244,0.5209,1
0.78,0.6907,0.8646,5,0.213,63.6,171.3,1.7,0.1023,0.5933,1
0.8912,0.8412,0.9863,5,0.018,170.6,281.9,2.03,0.1389,0.0251,0
0.8787,0.8651,0.8728,2,0.1457,288.4,366.2,4.92,-0.0154,0.4023,1
0.9147,0.822,0.8736,5,0.1094,241.9,327.9,1.09,0.2888,0.196,0
0.8237,0.7048,0.885,4,0.3909,212.7,326.5,3.7,0.3255,0.1997,1
0.9291,0.8937,0.9263,2,0.1577,263.6,407.0,1.92,0.2545,0.2367,0
0.7022,0.5437,0.7733,3,0.0262,73.5,138.7,6.02,0.2183,0.1638,0
0.7888,0.7225,0.7257,4,0.0477,181.0,350.9,1.7,0.1403,0.1666,0
0.8372,0.761,0.8382,3,0.3757,94.4,242.1,1.81,-0.0627,0.0441,1
0.9093,0.9093,0.8975,1,0.0421,108.7,108.7,3.53,-0.0246,0.0787,1
0.8001,0.557,0.8455,5,1.0,268.4,320.1,2.88,0.003,0.436,0
0.8619,0.8619,0.8115,1,0.0404,87.8,87.8,1.34,0.1043,0.3414,1
0.9154,0.9154,1.0,1,0.1223,88.5,88.5,5.0,0.2261,0.0668,1
0.7628,0.7048,0.759,3,0.1625,216.1,309.6,4.93,0.1237,0.3358,0
0.6971,0.5448,0.7168,5,0.5467,310.2,399.0,2.9,0.2806,0.2381,0
0.8528,0.8147,0.8622,3,0.0162,225.8,358.2,3.23,-0.0337,0.1785,0
0.9005,0.8491,0.883,3,0.2359,96.7,127.8,9.32,0.0301,0.1106,0
0.7707,0.686,0.7988,4,0.0277,259.1,411.1,4.0,0.1279,0.4658,0
0.8383,0.7246,0.9245,3,0.4018,36.2,38.7,4.35,0.2961,0.5383,0
0.9447,0.9447,0.8894,1,0.0952,182.3,182.3,5.63,0.1525,0.3149,0
0.8801,0.6776,0.8484,4,0.3736,173.1,335.0,1.69,0.3514,0.4581,0
0.8627,0.8291,0.9139,2,0.1491,129.7,297.1,4.71,0.2902,0.3949,0
0.8434,0.7213,0.9231,5,0.0021,15.5,138.4,3.5,-0.2032,0.1258,1
0.7215,0.7142,0.6864,2,0.2115,182.3,272.2,0.21,0.1141,0.0739,1
0.9459,0.9459,0.8757,1,0.0263,110.9,110.9,3.72,0.1177,0.0039,1
0.8756,0.8756,0.8256,1,0.5424,159.9,159.9,0.61,0.1012,0.2028,1
0.867,0.867,0.8911,1,0.2436,152.7,152.7,2.16,0.0578,0.4826,1
0.9082,0.8236,0.8556,4,0.0319,133.2,259.4,2.02,0.1212,0.1361,0
0.8045,0.8045,0.7602,1,0.1288,112.0,112.0,3.19,0.2364,0.224,0
0.8078,0.636,0.7213,5,0.0897,240.4,312.6,3.24,0.3185,0.1,0
0.9058,0.8879,0.9036,2,0.2429,96.5,163.8,4.93,0.0815,0.2193,1
0.7992,0.691,0.8257,4,0.049,50.9,63.2,2.87,0.1741,0.2239,0
0.8582,0.7217,0.9333,5,0.0282,44.4,179.4,6.08,0.0414,0.288,1
0.8725,0.6874,0.953,4,0.0026,297.7,463.3,4.94,0.073,0.6809,0
0.7255,0.6193,0.7037,2,0.5167,151.0,151.9,1.94,0.2103,0.6492,1
0.8549,0.7513,0.8333,3,0.2138,37.7,191.5,1.23,-0.0493,0.6285,1
0.8387,0.8387,0.9691,1,0.1035,239.9,239.9,1.33,0.2486,0.5128,1
0.9073,0.9073,0.8434,1,0.0372,293.1,293.1,10.6,0.0185,0.3354,1
0.7822,0.6297,0.7536,5,0.1364,67.5,211.3,0.43,0.1242,0.0923,0
0.8727,0.8035,0.8515,2,0.0032,30.0,78.6,4.5,0.1225,0.2069,1
0.8165,0.7135,0.7971,2,0.238,118.7,217.7,4.46,0.0959,0.6784,0
0.7534,0.697,0.7162,2,0.0398,155.9,332.6,7.32,0.1902,0.1779,0
0.7582,0.6779,0.6595,3,0.1852,220.3,301.3,4.45,0.309,0.2703,0
0.9618,0.9421,0.9014,3,0.1647,290.5,322.8,2.61,0.2546,0.3173,1
0.9092,0.8957,0.8918,2,0.1384,216.3,395.9,4.08,0.3642,0.1009,1
0.7664,0.5632,0.6577,2,0.1249,52.4,192.8,8.72,0.2727,0.2591,1
0.757,0.6597,0.7107,2,0.1762,119.6,212.3,0.84,0.1084,0.0642,0
0.761,0.6492,0.8474,2,0.0134,287.8,332.8,3.7,0.0853,0.2724,1
0.9714,0.9697,0.9555,2,0.2919,230.1,320.5,6.21,0.2816,0.167,1
0.8271,0.6663,0.9565,4,0.1353,160.1,325.0,1.2,0.2436,0.6757,0
0.8709,0.7515,0.9,3,0.1968,157.2,186.4,0.76,-0.0366,0.5414,1
0.8928,0.8928,0.814,1,0.4091,261.0,261.0,3.03,0.1154,0.5471,0
0.8567,0.7784,0.9062,3,0.4436,262.8,408.0,0.96,0.125,0.5882,1
0.7811,0.7811,0.8863,1,0.1873,188.3,188.3,5.64,0.0452,0.098,1
0.7894,0.7309,0.8001,2,0.1445,114.5,117.5,6.73,0.1967,0.5636,1
0.8207,0.7613,0.729,5,0.4048,158.8,318.9,3.23,-0.0919,0.055,0
0.9574,0.9574,0.914,1,0.2301,249.0,249.0,2.69,0.2081,0.7206,1
0.8726,0.7535,0.729,4,0.326,51.3,161.2,6.66,0.35,0.5597,0
0.8378,0.7655,0.7625,2,0.2315,132.6,168.8,4.46,-0.0055,0.403,1
